Data,Asset,Net_NC,Net_Comm
1970-01-01 00:00:00.000230221,Coffee,12316,-14198
1970-01-01 00:00:00.000230221,Copper,2049,-8510
1970-01-01 00:00:00.000230221,Silver,9902,-23050
1970-01-01 00:00:00.000230221,AUD,-24788,25049
1970-01-01 00:00:00.000230221,BTC,-812,438
1970-01-01 00:00:00.000230221,Cocoa,46085,-51594
1970-01-01 00:00:00.000230221,Russell 2000,-54548,48858
1970-01-01 00:00:00.000230221,10Y UST,-500660,590357
1970-01-01 00:00:00.000230221,CAD,-37503,39753
1970-01-01 00:00:00.000230221,Nasdaq,-14069,34620
1970-01-01 00:00:00.000230221,Soybeans,193260,-150141
1970-01-01 00:00:00.000230221,CHF,-6520,12058
1970-01-01 00:00:00.000230221,Sugar,233338,-277742
1970-01-01 00:00:00.000230221,Gold,107101,-129355
1970-01-01 00:00:00.000230221,Corn,283023,-209635
1970-01-01 00:00:00.000230221,VIX,-56108,62408
1970-01-01 00:00:00.000230221,EUR,165068,-213818
1970-01-01 00:00:00.000230221,JPY,-34029,46889
1970-01-01 00:00:00.000230221,Nikkei,-2022,1824
1970-01-01 00:00:00.000230221,GBP,-21416,37641
1970-01-01 00:00:00.000230221,USD Index,12198,-16640
1970-01-01 00:00:00.000230228,Gold,108593,-127487
1970-01-01 00:00:00.000230228,VIX,-55296,57328
1970-01-01 00:00:00.000230228,10Y UST,-627947,728799
1970-01-01 00:00:00.000230228,SPX,-183891,184866
1970-01-01 00:00:00.000230228,Coffee,16397,-17751
1970-01-01 00:00:00.000230228,AUD,-24165,28578
1970-01-01 00:00:00.000230228,Nikkei,-2001,2109
1970-01-01 00:00:00.000230228,Silver,-54,-13152
1970-01-01 00:00:00.000230228,BTC,-599,286
1970-01-01 00:00:00.000230228,Copper,-6038,-31
1970-01-01 00:00:00.000230228,EUR,162199,-211903
1970-01-01 00:00:00.000230228,Sugar,223799,-263993
1970-01-01 00:00:00.000230228,Wheat,-66762,66129
1970-01-01 00:00:00.000230228,JPY,-58678,70521
1970-01-01 00:00:00.000230228,Russell 2000,-42831,41374
1970-01-01 00:00:00.000230228,Corn,143131,-75346
1970-01-01 00:00:00.000230228,CHF,-4917,15439
1970-01-01 00:00:00.000230228,GBP,-23724,36441
1970-01-01 00:00:00.000230228,Crude Oil,215314,-231298
1970-01-01 00:00:00.000230228,USD Index,11876,-16026
1970-01-01 00:00:00.000230228,CAD,-36074,38460
1970-01-01 00:00:00.000230228,Cocoa,55413,-59813
1970-01-01 00:00:00.000230228,Soybeans,158421,-117888
1970-01-01 00:00:00.000230228,Nasdaq,-23829,42004
1970-01-01 00:00:00.000230307,Copper,-7720,-912
1970-01-01 00:00:00.000230307,GBP,-17402,33913
1970-01-01 00:00:00.000230307,Gold,98474,-118920
1970-01-01 00:00:00.000230307,Soybeans,180199,-141361
1970-01-01 00:00:00.000230307,USD Index,12556,-15632
1970-01-01 00:00:00.000230307,VIX,-61951,62611
1970-01-01 00:00:00.000230307,Corn,103272,-44172
1970-01-01 00:00:00.000230307,EUR,148448,-202628
1970-01-01 00:00:00.000230307,JPY,-75303,89603
1970-01-01 00:00:00.000230307,Wheat,-73265,71083
1970-01-01 00:00:00.000230307,CAD,-29202,39469
1970-01-01 00:00:00.000230307,CHF,-3950,14830
1970-01-01 00:00:00.000230307,Nasdaq,-12425,36075
1970-01-01 00:00:00.000230307,Crude Oil,206901,-234489
1970-01-01 00:00:00.000230307,Russell 2000,-50491,45086
1970-01-01 00:00:00.000230307,Nikkei,-3466,2553
1970-01-01 00:00:00.000230307,10Y UST,-556073,676329
1970-01-01 00:00:00.000230307,SPX,-209482,237677
1970-01-01 00:00:00.000230307,Coffee,15063,-15852
1970-01-01 00:00:00.000230307,Sugar,240709,-289588
1970-01-01 00:00:00.000230307,Silver,-7782,-5613
1970-01-01 00:00:00.000230307,AUD,-24824,35999
1970-01-01 00:00:00.000230307,BTC,41,-152
1970-01-01 00:00:00.000230307,Cocoa,54700,-59008
1970-01-01 00:00:00.000230314,EUR,139956,-186869
1970-01-01 00:00:00.000230314,BTC,-102,-283
1970-01-01 00:00:00.000230314,Nikkei,-2368,1251
1970-01-01 00:00:00.000230314,Wheat,-65314,65054
1970-01-01 00:00:00.000230314,VIX,-61505,66335
1970-01-01 00:00:00.000230314,AUD,-40091,53129
1970-01-01 00:00:00.000230314,CAD,-31715,36369
1970-01-01 00:00:00.000230314,Russell 2000,-49303,49431
1970-01-01 00:00:00.000230314,Soybeans,167994,-130481
1970-01-01 00:00:00.000230314,Cocoa,32019,-36114
1970-01-01 00:00:00.000230314,Nasdaq,-6472,35052
1970-01-01 00:00:00.000230314,CHF,-9965,13318
1970-01-01 00:00:00.000230314,Coffee,12310,-12998
1970-01-01 00:00:00.000230314,SPX,-119819,183204
1970-01-01 00:00:00.000230314,Silver,-1219,-9237
1970-01-01 00:00:00.000230314,Copper,-14156,7107
1970-01-01 00:00:00.000230314,Sugar,231143,-279432
1970-01-01 00:00:00.000230314,10Y UST,-507366,577136
1970-01-01 00:00:00.000230314,Gold,140331,-155440
1970-01-01 00:00:00.000230314,Crude Oil,176219,-212633
1970-01-01 00:00:00.000230314,JPY,-74794,85994
1970-01-01 00:00:00.000230314,GBP,-17314,25702
1970-01-01 00:00:00.000230314,Corn,43777,19683
1970-01-01 00:00:00.000230314,USD Index,13757,-17002
1970-01-01 00:00:00.000230321,Nasdaq,-5120,16858
1970-01-01 00:00:00.000230321,10Y UST,-571029,540067
1970-01-01 00:00:00.000230321,Crude Oil,154341,-178904
1970-01-01 00:00:00.000230321,SPX,-202480,266455
1970-01-01 00:00:00.000230321,AUD,-38459,50554
1970-01-01 00:00:00.000230321,Nikkei,-930,795
1970-01-01 00:00:00.000230321,BTC,-621,-103
1970-01-01 00:00:00.000230321,Copper,-12351,7536
1970-01-01 00:00:00.000230321,Silver,3462,-12681
1970-01-01 00:00:00.000230321,EUR,144842,-191171
1970-01-01 00:00:00.000230321,VIX,-49649,52093
1970-01-01 00:00:00.000230321,GBP,-20498,25506
1970-01-01 00:00:00.000230321,Gold,158605,-183568
1970-01-01 00:00:00.000230321,Coffee,18696,-17673
1970-01-01 00:00:00.000230321,Corn,59476,3793
1970-01-01 00:00:00.000230321,CHF,-7297,12611
1970-01-01 00:00:00.000230321,JPY,-66345,72484
1970-01-01 00:00:00.000230321,Soybeans,171787,-141848
1970-01-01 00:00:00.000230321,CAD,-56821,64449
1970-01-01 00:00:00.000230321,USD Index,14144,-16708
1970-01-01 00:00:00.000230321,Cocoa,37846,-42636
1970-01-01 00:00:00.000230321,Wheat,-59203,59325
1970-01-01 00:00:00.000230321,Russell 2000,-44988,44694
1970-01-01 00:00:00.000230321,Sugar,210656,-258522
1970-01-01 00:00:00.000230328,Nikkei,-1094,1344
1970-01-01 00:00:00.000230328,Russell 2000,-42750,43502
1970-01-01 00:00:00.000230328,Nasdaq,-7348,14846
1970-01-01 00:00:00.000230328,Copper,-1545,-4924
1970-01-01 00:00:00.000230328,Silver,13361,-21875
1970-01-01 00:00:00.000230328,Coffee,16751,-15709
1970-01-01 00:00:00.000230328,Sugar,222829,-275157
1970-01-01 00:00:00.000230328,10Y UST,-471578,436497
1970-01-01 00:00:00.000230328,Cocoa,61273,-65418
1970-01-01 00:00:00.000230328,Crude Oil,181069,-191616
1970-01-01 00:00:00.000230328,Wheat,-60545,60324
1970-01-01 00:00:00.000230328,VIX,-42177,45771
1970-01-01 00:00:00.000230328,EUR,145025,-191248
1970-01-01 00:00:00.000230328,USD Index,12719,-15085
1970-01-01 00:00:00.000230328,CAD,-56825,63417
